72441	D177219X; (DHL)177219	E/ESCWA/C.1/15/INF.2/Rev.1	http://digitallibrary.un.org/record/72441/files/E_ESCWA_C.1_15_INF.2_Rev.1-AR.pdf; http://digitallibrary.un.org/record/72441/files/E_ESCWA_C.1_15_INF.2_Rev.1-EN.pdf
72442	D177220X; (DHL)177220	E/ESCWA/C.1/15/L.1/Add.1	http://digitallibrary.un.org/record/72442/files/E_ESCWA_C.1_15_L.1_Add.1-EN.pdf
72482	D177260X; (DHL)177260	E/ESCWA/C.1/15/4(PartI)/Rev.1/Corr.1	
72483	D177261X; (DHL)177261	E/ESCWA/C.1/15/4(PartII)/Corr.1	
72497	D177275X; (DHL)177275	E/ESCWA/C.1/15/1	http://digitallibrary.un.org/record/72497/files/E_ESCWA_C.1_15_1-AR.pdf; http://digitallibrary.un.org/record/72497/files/E_ESCWA_C.1_15_1-EN.pdf
72498	D177276X; (DHL)177276	E/ESCWA/15/L.1/Add.1	http://digitallibrary.un.org/record/72498/files/E_ESCWA_15_L.1_Add.1-EN.pdf
72499	D177277X; (DHL)177277	E/ESCWA/15/4/Rev.1	http://digitallibrary.un.org/record/72499/files/E_ESCWA_15_4_Rev.1-AR.pdf; http://digitallibrary.un.org/record/72499/files/E_ESCWA_15_4_Rev.1-EN.pdf
72500	D177278X; (DHL)177278	E/ESCWA/15/2	http://digitallibrary.un.org/record/72500/files/E_ESCWA_15_2-AR.pdf; http://digitallibrary.un.org/record/72500/files/E_ESCWA_15_2-EN.pdf
72501	D177279X; (DHL)177279	E/ESCWA/15/L.1	http://digitallibrary.un.org/record/72501/files/E_ESCWA_15_L.1-EN.pdf
72504	D177282X; (DHL)177282	E/ESCWA/C.1/15/L.2	http://digitallibrary.un.org/record/72504/files/E_ESCWA_C.1_15_L.2-AR.pdf; http://digitallibrary.un.org/record/72504/files/E_ESCWA_C.1_15_L.2-EN.pdf
72505	D177283X; (DHL)177283	E/ESCWA/C.1/15/2	http://digitallibrary.un.org/record/72505/files/E_ESCWA_C.1_15_2-AR.pdf; http://digitallibrary.un.org/record/72505/files/E_ESCWA_C.1_15_2-EN.pdf
72506	D177284X; (DHL)177284	E/ESCWA/C.1/15/3/Rev.1	http://digitallibrary.un.org/record/72506/files/E_ESCWA_C.1_15_3_Rev.1-AR.pdf; http://digitallibrary.un.org/record/72506/files/E_ESCWA_C.1_15_3_Rev.1-EN.pdf
72507	D177285X; (DHL)177285	E/ESCWA/15/3	http://digitallibrary.un.org/record/72507/files/E_ESCWA_15_3-AR.pdf; http://digitallibrary.un.org/record/72507/files/E_ESCWA_15_3-EN.pdf
72563	D177341X; (DHL)177341	E/ESCWA/C.1/15/4(PartI)/Rev.1	http://digitallibrary.un.org/record/72563/files/E_ESCWA_C-1_15_4%28PARTI%29_REV-1-AR.pdf; http://digitallibrary.un.org/record/72563/files/E_ESCWA_C-1_15_4%28PARTI%29_REV-1-EN.pdf
72637	D177606X; (DHL)177606	E/ESCWA/C.1/15/INF.1/Rev.1	http://digitallibrary.un.org/record/72637/files/E_ESCWA_C.1_15_INF.1_Rev.1-AR.pdf
72685	D177654X; (DHL)177654	E/ESCWA/15/INF.3	http://digitallibrary.un.org/record/72685/files/E_ESCWA_15_INF.3-EN.pdf
72687	D177656X; (DHL)177656	E/ESCWA/15/6/Add.1	http://digitallibrary.un.org/record/72687/files/E_ESCWA_15_6_Add.1-AR.pdf; http://digitallibrary.un.org/record/72687/files/E_ESCWA_15_6_Add.1-EN.pdf
72688	D177657X; (DHL)177657	E/ESCWA/15/6	http://digitallibrary.un.org/record/72688/files/E_ESCWA_15_6-AR.pdf; http://digitallibrary.un.org/record/72688/files/E_ESCWA_15_6-EN.pdf
72693	D177662X; (DHL)177662	E/ESCWA/C.1/15/4(PartII)	http://digitallibrary.un.org/record/72693/files/E_ESCWA_C-1_15_4%28PARTII%29-AR.pdf; http://digitallibrary.un.org/record/72693/files/E_ESCWA_C-1_15_4%28PARTII%29-EN.pdf
72694	D177663X; (DHL)177663	E/ESCWA/C.1/15/4/Add.4	http://digitallibrary.un.org/record/72694/files/E_ESCWA_C.1_15_4_Add.4-AR.pdf; http://digitallibrary.un.org/record/72694/files/E_ESCWA_C.1_15_4_Add.4-EN.pdf
72695	D177664X; (DHL)177664	E/ESCWA/15/7	http://digitallibrary.un.org/record/72695/files/E_ESCWA_15_7-AR.pdf; http://digitallibrary.un.org/record/72695/files/E_ESCWA_15_7-EN.pdf
72713	D177682X; (DHL)177682	E/ESCWA/15/6/Add.2	http://digitallibrary.un.org/record/72713/files/E_ESCWA_15_6_Add.2-AR.pdf; http://digitallibrary.un.org/record/72713/files/E_ESCWA_15_6_Add.2-EN.pdf
72743	D177712X; (DHL)177712	E/ESCWA/C.1/15/10(PartI)	
72744	D177713X; (DHL)177713	E/ESCWA/C.1/15/8	http://digitallibrary.un.org/record/72744/files/E_ESCWA_C.1_15_8-AR.pdf; http://digitallibrary.un.org/record/72744/files/E_ESCWA_C.1_15_8-EN.pdf
72745	D177714X; (DHL)177714	E/ESCWA/C.1/15/6	http://digitallibrary.un.org/record/72745/files/E_ESCWA_C.1_15_6-AR.pdf; http://digitallibrary.un.org/record/72745/files/E_ESCWA_C.1_15_6-EN.pdf
72746	D177715X; (DHL)177715	E/ESCWA/C.1/15/5	http://digitallibrary.un.org/record/72746/files/E_ESCWA_C.1_15_5-AR.pdf; http://digitallibrary.un.org/record/72746/files/E_ESCWA_C.1_15_5-EN.pdf
72747	D177716X; (DHL)177716	E/ESCWA/C.1/15/9	
72748	D177717X; (DHL)177717	E/ESCWA/C.1/15/10	
72749	D177718X; (DHL)177718	E/ESCWA/C.1/15/11	http://digitallibrary.un.org/record/72749/files/E_ESCWA_C.1_15_11-AR.pdf; http://digitallibrary.un.org/record/72749/files/E_ESCWA_C.1_15_11-EN.pdf
72750	D177719X; (DHL)177719	E/ESCWA/C.1/15/10(PartI)/Suppl.3	
72751	D177720X; (DHL)177720	E/ESCWA/C.1/15/10(PartI)/Suppl.2	
72752	D177721X; (DHL)177721	E/ESCWA/C.1/15/12	http://digitallibrary.un.org/record/72752/files/E_ESCWA_C.1_15_12-AR.pdf; http://digitallibrary.un.org/record/72752/files/E_ESCWA_C.1_15_12-EN.pdf
72753	D177722X; (DHL)177722	E/ESCWA/C.1/15/13	http://digitallibrary.un.org/record/72753/files/E_ESCWA_C.1_15_13-AR.pdf; http://digitallibrary.un.org/record/72753/files/E_ESCWA_C.1_15_13-EN.pdf
72754	D177723X; (DHL)177723	E/ESCWA/C.1/15/14	http://digitallibrary.un.org/record/72754/files/E_ESCWA_C.1_15_14-EN.pdf
72761	D177730X; (DHL)177730	E/ESCWA/C.1/15/4/Add.5	http://digitallibrary.un.org/record/72761/files/E_ESCWA_C.1_15_4_Add.5-AR.pdf; http://digitallibrary.un.org/record/72761/files/E_ESCWA_C.1_15_4_Add.5-EN.pdf
72762	D177731X; (DHL)177731	E/ESCWA/C.1/15/4/Add.2	http://digitallibrary.un.org/record/72762/files/E_ESCWA_C.1_15_4_Add.2-AR.pdf; http://digitallibrary.un.org/record/72762/files/E_ESCWA_C.1_15_4_Add.2-EN.pdf
72763	D177732X; (DHL)177732	E/ESCWA/C.1/15/4/Add.1	http://digitallibrary.un.org/record/72763/files/E_ESCWA_C.1_15_4_Add.1-AR.pdf; http://digitallibrary.un.org/record/72763/files/E_ESCWA_C.1_15_4_Add.1-EN.pdf
72767	D177736X; (DHL)177736	E/ESCWA/C.1/15/4/Add.8	http://digitallibrary.un.org/record/72767/files/E_ESCWA_C.1_15_4_Add.8-AR.pdf; http://digitallibrary.un.org/record/72767/files/E_ESCWA_C.1_15_4_Add.8-EN.pdf
72794	D177763X; (DHL)177763	E/ESCWA/C.1/15/10(PartI)/Suppl.1	
72795	D177764X; (DHL)177764	E/ESCWA/C.1/15/4/Add.10	http://digitallibrary.un.org/record/72795/files/E_ESCWA_C.1_15_4_Add.10-AR.pdf; http://digitallibrary.un.org/record/72795/files/E_ESCWA_C.1_15_4_Add.10-EN.pdf
72796	D177765X; (DHL)177765	E/ESCWA/C.1/15/4/Add.9	http://digitallibrary.un.org/record/72796/files/E_ESCWA_C.1_15_4_Add.9-AR.pdf; http://digitallibrary.un.org/record/72796/files/E_ESCWA_C.1_15_4_Add.9-EN.pdf
72797	D177766X; (DHL)177766	E/ESCWA/DOC/15	
72803	D177772X; (DHL)177772	E/ESCWA/C.1/15/4/Add.3	http://digitallibrary.un.org/record/72803/files/E_ESCWA_C.1_15_4_Add.3-AR.pdf; http://digitallibrary.un.org/record/72803/files/E_ESCWA_C.1_15_4_Add.3-EN.pdf
72804	D177773X; (DHL)177773	E/ESCWA/C.1/15/4/Add.7	http://digitallibrary.un.org/record/72804/files/E_ESCWA_C.1_15_4_Add.7-AR.pdf; http://digitallibrary.un.org/record/72804/files/E_ESCWA_C.1_15_4_Add.7-EN.pdf
73077	D178245X; (DHL)178245	E/ESCWA/C.1/15/4/Add.6	http://digitallibrary.un.org/record/73077/files/E_ESCWA_C.1_15_4_Add.6-AR.pdf; http://digitallibrary.un.org/record/73077/files/E_ESCWA_C.1_15_4_Add.6-EN.pdf
73100	D178268X; (DHL)178268	***	
73472	D178840X; (DHL)178840	E/ESCWA/C.1/15/6/Add.3	http://digitallibrary.un.org/record/73472/files/E_ESCWA_C.1_15_6_Add.3-AR.pdf; http://digitallibrary.un.org/record/73472/files/E_ESCWA_C.1_15_6_Add.3-EN.pdf
73473	D178841X; (DHL)178841	E/ESCWA/LIB/DOC/89/1	
