E/ESCWA/2017/EC.4/4(PART V)	11/15/2017	I1700688	REGIONAL AND GLOBAL ISSUES : MULTIDIMENSIONAL POVERTY IN THE ARAB REGION : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA). EXECUTIVE COMMITTEE, FOURTH MEETING, BEIRUT, 13 - 14 DECEMBER 2017	القضايا الاقليمية والعالمية : الفقر المتعدد الابعاد في المنطقة العربية : اللجنة الاقتصادية والاجتماعية لغربي آسيا. اللجنة التنفيذية، الاجتماع الرابع، بيروت، 13 - 14 كانون الاول/ديسمبر 2017	T0004246;T0004342;T0002797;T0004347;T0002769;T0006023;T0005529;T0007920
E/ESCWA/2017/EC.4/5	12/05/2017	I1700754	SESSION REPORTS OF ESCWA SUBSIDIARY BODIES : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA). EXECUTIVE COMMITTEE, FOURTH MEETING, BEIRUT, 13 - 14 DECEMBER 2017	تقارير الهيئات الفرعية للاسكوا عن دوراتها : اللجنة الاقتصادية والاجتماعية لغربي آسيا. اللجنة التنفيذية، الاجتماع الرابع، بيروت، 13 - 14 كانون الاول/ديسمبر 2017	T0006045;T0006023;T0001406;T0001251;T0000896;T0005949;T0005529;T0007920
E/ESCWA/2017/EC.4/6	11/24/2017	I1700716		برنامج التعاون الفني في الاسكوا : التقدم المحرز في تنفيذ الانشطة المقررة : اللجنة الاقتصادية والاجتماعية لغربي آسيا. اللجنة التنفيذية، الاجتماع الرابع، بيروت، 13 - 14 كانون الاول/ديسمبر 2017	T0000756;T0007909;T0006045;T0000769;T0005529;T0001129;T0007920
E/ESCWA/2017/EC.4/7	12/04/2017	I1700743		التحضيرات الجارية للدورة الثلاثين للاسكو1 : اللجنة الاقتصادية والاجتماعية لغربي آسيا. اللجنة التنفيذية، الاجتماع الرابع، بيروت، 13 - 14 كانون الاول/ديسمبر 2017	T0001129;T0007920;T0006045;T0005915;T0005923;T0005529
E/ESCWA/2017/EC.4/9/REPORT	01/24/2018	I1800040	REPORT : FOURTH MEETING OF THE EXECUTIVE COMMITTEE, BEIRUT, 13 - 14 DECEMBER 2017		T0000039;T0006045;T0000930;T0005151;T0004342;T0002313;T0010419;T0001407;T0001251;T0005529;T0007920
E/ESCWA/2017/EC.4/INF.1	11/29/2017	I1700737	INFORMATION NOTE : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA). EXECUTIVE COMMITTEE, FOURTH MEETING, BEIRUT, 13 - 14 DECEMBER 2017	مذكرة توضيحية : اللجنة الاقتصادية والاجتماعية لغربي آسيا. اللجنة التنفيذية، الاجتماع الرابع، بيروت، 13 - 14 كانون الاول/ديسمبر 2017	T0006023;T0004792;T0000039;T0005529;T0007920;T0005923
E/ESCWA/2017/EC.4/INF.2	12/11/2017	I1700755	LIST OF DOCUMENTS : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA). EXECUTIVE COMMITTEE, FOURTH MEETING, BEIRUT, 13 - 14 DECEMBER 2017	قائمة بالوثائق : اللجنة الاقتصادية والاجتماعية لغربي آسيا. اللجنة التنفيذية، الاجتماع الرابع، بيروت، 13 - 14 كانون الاول/ديسمبر 2017	T0000039;T0006045;T0006000;T0004781;T0006023;T0007920
E/ESCWA/2017/EC.4/L.1	12/11/2017	I1700735	PROVISIONAL AGENDA AND ANNOTATIONS : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA). EXECUTIVE COMMITTEE, FOURTH MEETING, BEIRUT, 13 - 14 DECEMBER 2017	جدول الاعمال المؤقت : اللجنة الاقتصادية والاجتماعية لغربي آسيا. اللجنة التنفيذية، الاجتماع الرابع، بيروت، 13 - 14 كانون الاول/ديسمبر 2017	T0006045;T0000039;T0007920;T0005529;T0005915
E/ESCWA/2017/EC.4/L.2	12/08/2017	I1700762	ORGANIZATION OF WORK : NOTE BY THE SECRETARIAT : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA). EXECUTIVE COMMITTEE, FOURTH MEETING, BEIRUT, 13 - 14 DECEMBER 2017	تنظيم الاعمال : مذكرة من الامانة التنفيذية  : اللجنة الاقتصادية والاجتماعية لغربي آسيا. اللجنة التنفيذية، الاجتماع الرابع، بيروت، 13 - 14 كانون الاول/ديسمبر 2017	T0006045;T0006023;T0000039;T0005529;T0007920
E/ESCWA/30/10	06/11/2018	I1800256	IMPLEMENTATION OF THE DOHA DECLARATION AND OTHER RESOLUTIONS ADOPTED BY THE COMMISSION AT ITS TWENTY-NINTH SESSION ; ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0001129;T0006346;T0007909;T0006124;T0005529;T0007920;T0006045
E/ESCWA/30/11	05/15/2018	I1800211	REPORTS OF THE EXECUTIVE COMMITTEE : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0006045;T0000039;T0005949;T0007920;T0005547
E/ESCWA/30/12	05/15/2018	I1800213	REPORTS OF THE COMMISSION'S SUBSIDIARY BODIES : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0005994;T0006045;T0005949;T0007920;T0002861;T0002632;T0002311;T0002668;T0005547
E/ESCWA/30/13	05/02/2018	I1800195	PROGRAMME PERFORMANCE IN THE BIENNIUM 2016-2017 ; ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0005961;T0007909;T0001939;T0006000;T0006045;T0005547;T0001118;T0000731;T0000672;T0004271;T0004271;T0004946;T0006857;T0000896;T0004190
